Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000057359521635,-0.999991418835504,-1.9161545038223267,,44,8,jalon_40_0
2,-0.9999824876590968,-0.9999840649151948,-1.6516082286834717,,45,0,39
3,-0.999971086294465,-0.9999854530311418,-1.6909974217414856,,37,6,40
4,-0.9999539927120277,-0.9999968333609928,-1.825678527355194,,50,7,41
5,-0.999932849998152,-0.9999731080754355,-1.9047930240631104,,68,1,42
6,-0.9998892102416248,-0.9999697617578812,-1.8562695980072021,,44,6,43
7,-0.9998569667185124,-0.9999851296791132,-1.9754084944725037,,20,5,44
8,-0.9998216504950449,-1.0000192558413492,-2.1431928873062134,,47,3,jalon_40_20
9,-0.9998436835541853,-0.999972157169653,-1.7620409727096558,,55,5,45
10,-0.9998112613904069,-0.9999062309548681,-1.7278717756271362,,60,1,46
11,-0.9998164891041453,-0.9999067396640082,-1.724054753780365,,47,9,47
12,-0.9998424980196058,-0.9999106792855674,-1.7948696613311768,,43,4,48
13,-0.999830793534431,-0.9998716055892402,-1.5192850828170776,,36,6,49
14,-0.9998016402953284,-0.999836938266184,-1.90386962890625,,41,8,jalon_60_20
15,-0.9998208572988059,-0.9998495311201583,-1.4702343940734863,,17,0,50
