Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000011470230568,-1.0000109123637408,-2.114255666732788,,48,2,jalon_60_60
2,-1.0000027508010356,-1.0000311006203046,-1.75461745262146,,68,5,310
3,-0.9999893008817173,-1.000081301933904,-2.101287603378296,,47,2,311
4,-0.999971170372237,-1.0000662441341652,-1.8900744915008545,,19,4,312
5,-0.9999616776137533,-1.000046778599493,-1.6711366176605225,,24,6,313
6,-0.9999462419262514,-1.0000131256207898,-2.043661117553711,,36,4,314
7,-0.9999033289734599,-1.000013819764088,-1.9390833377838135,,21,1,315
8,-0.9998844221363513,-1.0000658809907401,-2.284661293029785,,34,9,316
9,-0.999818009869457,-1.0000189508912916,-2.8078171014785767,,46,9,jalon_60_80
10,-0.9998486383387483,-1.0000979070927951,-1.597179353237152,,31,0,317
11,-0.9998407454159859,-1.0000757988990423,-1.1629708260297775,,37,6,318
12,-0.9998591380274983,-1.0001213072138124,-1.6993748545646667,,36,4,319
13,-0.999873613190039,-1.0001361520269887,-0.9249178841710091,,38,9,320
14,-0.9998460848994549,-1.0002029599400049,-0.6499888598918915,,42,9,jalon_40_80
15,-0.9998966173121251,-1.0001226799911347,-1.55568128824234,,42,1,321
16,-0.9998932824730313,-1.000135250962329,-1.3929610848426819,,26,8,322
