Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999750152447111,-1.00000736086973,-2.259895920753479,,34,5,jalon_0_80
2,-0.9999543680529488,-0.9999942387938765,-1.9108291268348694,,19,6,361
3,-0.9999771748459925,-0.9999554216929252,-1.8819596767425537,,39,1,362
4,-0.9999537959730913,-0.9999470986501718,-2.2873661518096924,,38,9,363
5,-0.9999383892252519,-0.9999414476085889,-1.771375298500061,,30,3,364
6,-0.9999295363522424,-0.9999619571051402,-1.6392912864685059,,19,4,365
7,-0.9999142753043836,-0.9999640217380354,-2.241255521774292,,30,7,366
8,-0.9999137917518034,-0.9999388321619235,-2.2600830793380737,,23,0,367
9,-0.9998962431052427,-0.999931630345432,-1.5992742776870728,,23,4,368
10,-0.9998400351794499,-0.9999653734459755,-1.2229055762290955,,25,4,369
11,-0.9998193198783505,-0.99999934133079,-1.2713289260864258,,49,0,jalon_0_100
12,-0.9998739670615057,-0.9999293427907193,-1.8673920631408691,,21,2,370
13,-0.9998589096952162,-0.9999110727413304,-1.3439678251743317,,21,1,371
14,-0.9998615018433193,-0.9998854721150022,-1.556082010269165,,30,7,372
15,-0.9999016523492598,-0.9998936991933943,-1.7749361395835876,,55,1,373
16,-0.99988660817018,-0.9998867892191016,-1.4479341208934784,,33,2,374
17,-0.9998757337728531,-0.9998699964908037,-1.342862069606781,,15,0,375
18,-0.999818575727457,-0.99980793303818,-1.6920835375785828,,41,9,jalon_20_100
19,-0.9999337242984693,-0.9998799088750808,-1.993077039718628,,24,7,376
20,-0.9999340798227977,-0.9998681310935512,-1.31999871134758,,25,7,377
21,-0.9999452565462159,-0.9998673165268808,-1.973331332206726,,19,7,378
22,-0.9999164708451559,-0.9998241924116574,-1.8065300583839417,,45,8,379
23,-0.9999670839995517,-0.9998252661391046,-1.2248969674110413,,32,8,380
24,-0.9999823141866431,-0.9998201781836912,-1.808818757534027,,44,6,jalon_20_80
25,-1.000010262089814,-1.0000019451634006,-1.8098077774047852,,51,5
