Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.000010698586308,-0.9999967201653629,-1.9754506945610046,,47,4,jalon_100_60
2,-0.9999648139290135,-0.9999966579773296,-1.6012040972709656,,19,4,270
3,-0.9999460597386003,-1.0000096678235346,-0.9318312630057335,,175,2,271
4,-0.9999650341965904,-1.0000490787998326,-1.6436573266983032,,67,5,272
5,-0.9999326374569987,-1.000080796540773,-1.892737865447998,,35,2,273
6,-0.9998979988647032,-1.0000457103727853,-1.644619107246399,,37,8,274
7,-0.9999240311819598,-0.9999866658655836,-1.9435949921607971,,49,2,275
8,-0.9999074545180493,-0.9999883764143639,-1.7266281843185425,,22,4,276
9,-0.9998830419706077,-0.9999906135267003,-1.8689665794372559,,34,5,277
10,-0.9998341112323571,-0.9999331178110161,-1.9734702706336975,,50,7,jalon_100_80
11,-0.9998349981637106,-0.9999800634225142,-1.8250163197517395,,32,7,278
12,-0.9998265404992498,-1.0000196407837771,-1.81278395652771,,61,2,279
13,-0.9997906455981139,-1.0000785566813815,-2.3054466247558594,,54,4,280
14,-0.9997729194591599,-1.0001262521656173,-2.655630946159363,,52,7,jalon_80_80
15,-0.9997996259925537,-1.0001219388055818,-2.3551530838012695,,59,1,281
16,-0.9998093538761637,-1.0000844165662504,-2.1964755058288574,,18,7,282
17,-0.9998149275479414,-1.0000894032762921,-2.1660600900650024,,31,0,283
18,-0.9998339770693747,-1.0000814931408117,-2.2736634016036987,,55,9,284
19,-0.9998462277862089,-1.000070753035947,-2.059682250022888,,38,5,285
20,-0.9998841168781734,-1.0000686621961374,-1.9497450590133667,,46,4,286
21,-0.9998749075911343,-1.0000968888003934,-2.165231466293335,,56,6,287
22,-0.9998893193344014,-1.000119006518301,-1.7883862853050232,,14,8,288
23,-0.9999019878146708,-1.0001274005561342,-2.023712992668152,,48,6,289
24,-0.999904943369034,-1.0001450656465332,-1.8195617198944092,,43,3,290
25,-0.9999340068479957,-1.000120906683182,-1.943052351474762,,61,1,291
