Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999911813984996,-0.9999908583693047,-2.0954086780548096,,43,3,jalon_40_60
2,-0.9999820580537724,-1.0000506808166763,-1.9695944786071777,,44,2,327
3,-0.9999432603154925,-1.0000522967764771,-1.5480225086212158,,51,1,328
4,-0.9999325770530054,-1.0000180155925085,-1.3180818259716034,,22,6,329
5,-0.999915378048875,-1.0000383551484018,-0.7686236053705215,,48,8,330
6,-0.9998685797297353,-0.9999967954240617,-0.23631936311721802,,31,5,331
7,-0.9998184044483379,-0.999995148872481,-0.47202974557876587,,21,4,332
8,-0.9998137034220425,-0.9999961118446062,-0.7742263823747635,,24,5,jalon_40_80
9,-0.9998289159699597,-1.000013185637656,-0.219213604927063,,27,5,333
10,-0.9998236971541126,-1.0000824781779525,-1.0044994144700468,,31,5,334
11,-0.9998446689233104,-1.000067510648335,-0.6693310141563416,,53,3,335
12,-0.9998534048135908,-1.0001170376666864,-0.8181331008672714,,27,2,336
13,-0.9998288360820649,-1.0001186344908117,-0.7115215957164764,,71,6,337
14,-0.9998221671297114,-1.0001420778068923,-1.8006969094276428,,42,4,338
15,-0.9998130091224638,-1.000177260891969,-2.700999140739441,,43,2,jalon_20_80
16,-0.9998787310102238,-1.0001346558789732,-1.587886929512024,,9,8,339
17,-0.9998748564912142,-1.0001469099153875,-2.047364115715027,,36,3,340
18,-0.9999022597217015,-1.000132642269725,-1.7431698441505432,,27,9,341
19,-0.9999337343129242,-1.0000922487593003,-0.9863592833280563,,13,8,342
20,-0.9999124504915444,-1.0001612502965511,-2.2178810834884644,,51,8,343
21,-1.0000033345351043,-1.0001726240805564,-1.8079002499580383,,40,3,jalon_20_60
