Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434898768541369,11.445450375289143,667.5290726982057,,50,6,188
2,3.4349389102429058,11.445384194008376,667.9314543567598,,51,4,189
3,3.434957684483728,11.445339112142316,667.7740637026727,,16,5,189.1
4,3.434986188570813,11.445348492547753,667.5634279809892,,49,9,jalon_0_60
5,3.4349426895583894,11.445437457250076,668.2897884808481,,32,8,190
6,3.4349272183735247,11.445452360794775,667.8267275057733,,52,4,191
7,3.4349721765549663,11.445489616541034,668.1875420175493,,59,1,192
8,3.4349868322554378,11.445532956121108,668.9354172311723,,41,8,jalon_20_60
9,3.4349033916728073,11.445503754339446,668.5992956645787,,21,5,193
10,3.434852157205527,11.445521986759012,668.6737468391657,,25,7,194
11,3.434820511875359,11.445501441744609,668.7075761444867,,73,4,195
12,3.43480648731835,11.445536075996605,668.3406969867647,,43,9,jalon_20_40
13,3.434805996425709,11.445353318526763,667.9693074785173,,48,2,jalon_0_40
