Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434515533590648,11.445755324321025,227.85712027549744,,47,8,jalon_40_80
2,3.434543777917756,11.44580458372151,227.03294336795807,,22,1,390
3,3.4345495399040438,11.445858032158853,226.27855253219604,,17,3,391
4,3.4346134573307237,11.44582998927284,225.83910608291626,,47,4,392
5,3.434606150084955,11.445809807089034,225.99912333488464,,25,9,393
6,3.434631059315455,11.445796994644674,226.19304275512695,,17,4,394
7,3.434630039470731,11.445753705135633,226.6978361606598,,31,2,395
8,3.4346972857907674,11.445748076658939,225.79923963546753,,26,0,jalon_40_100
9,3.434681554770474,11.44576905257538,225.9043004512787,,33,0,396
10,3.4346961037780965,11.445803993990836,226.18735361099243,,40,8,397
11,3.4346421330775816,11.445827123688831,226.56403827667236,,35,7,398
12,3.434721230105966,11.445853534576246,226.04758548736572,,29,0,399
13,3.434706941370658,11.445866496609217,226.4617669582367,,15,8,400
14,3.434700968741508,11.445873593219131,226.16578650474548,,42,3,401
15,3.4347359611786645,11.445923122965514,226.01203513145447,,53,3,jalon_60_100
16,3.434645868083504,11.445900713011786,226.5510058403015,,20,4,404
17,3.4346311752196015,11.445859891380655,227.16230738162994,,157,3,405
