Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434705202955587,11.445334485706415,661.3282813131809,,14,1,136
2,3.4347064742477773,11.445319330607493,660.6821022033691,,27,7,jalon_40_40
3,3.4346211873602943,11.445365728524727,660.9361912608147,,49,9,137
4,3.434645308753366,11.445425554921876,660.8908300995827,,43,3,138
5,3.4345799988486285,11.445394350550071,661.221014559269,,42,5,139
6,3.4345539979296476,11.445420144886727,661.3290264904499,,22,2,140
7,3.434531346284865,11.445404383168102,661.2699099779129,,24,7,141
8,3.434522459058318,11.445382803535303,661.455266058445,,22,5,jalon_40_20
9,3.4345813552409226,11.445558837475032,661.3354612588882,,43,4,jalon_60_20
10,3.4347599847065977,11.445494216460188,661.4992474615574,,55,3,jalon_60_40
