Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434645201062712,11.445600047222577,665.9890878200531,,47,1,jalon_60_40
2,3.434666002345196,11.445683405064056,666.2068881988525,,25,0,238
3,3.4346816703822522,11.44568336622875,666.2409094572067,,59,0,239
4,3.4346930436801957,11.445702969181857,666.1227799654007,,47,3,240
5,3.4346730348471866,11.445616708278807,666.3329176306725,,57,6,241.1
6,3.4347291311406476,11.445611931976527,667.7196846008301,,94,7,241
7,3.434823179817595,11.445584970454087,666.056046128273,,43,5,jalon_60_60
8,3.434812439319248,11.44560433666932,666.1722114682198,,48,0,242
9,3.4347899986274926,11.445658081748723,666.5533326268196,,31,0,243
10,3.4347696735235673,11.445678541604456,666.3289580345154,,57,1,244
11,3.4347908645816982,11.445683182547075,666.2025161385536,,13,7,245
12,3.434829036034172,11.445692135581835,666.2751832604408,,31,2,246
13,3.434832099321833,11.445714624758642,666.4315519928932,,27,8,247
14,3.434856593918666,11.445762459583081,666.15760409832,,43,2,jalon_80_60
15,3.434829030396338,11.445770975039073,666.1841292381287,,58,3,248
16,3.434804109616794,11.445768858048686,666.5230141282082,,36,7,249
17,3.4347661246890797,11.445768288181583,666.6108524799347,,31,9,250
18,3.434761326511098,11.445744733077264,666.1614810228348,,50,9,251
19,3.434683004837929,11.445769335958492,666.3397886157036,,54,6,252
20,3.4346757408140878,11.445782387219355,666.2809535861015,,42,4,jalon_80_40
