Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000049176461792,-1.0000114399053925,-1.8882994055747986,,45,0,319
2,-1.0000170977739382,-1.0000235414422702,-1.022880770266056,,40,6,320
3,-1.0000431913140777,-1.000010828888433,-1.9410077929496765,,31,6,321
4,-1.0000385627006274,-1.0000245873923437,-1.4218947291374207,,50,8,322
5,-1.0000502947498546,-1.000008864534374,-2.015471577644348,,53,1,323
6,-1.0001077344596667,-0.9999902170431414,-1.9729520678520203,,44,4,324
7,-1.0001491672122191,-1.0000050564816476,-1.8308541178703308,,54,9,325
8,-1.00015463221939,-1.0000184648348607,-1.8955270648002625,,36,1,326
9,-1.0001669956725991,-1.0000695249194007,-1.9745537042617798,,49,1,jalon_40_60
10,-0.9999879930704815,-1.0000912388575642,-0.5696017742156982,,40,7,jalon_40_80
11,-0.9999647102749387,-0.9999079853241943,-2.5674808025360107,,51,0,jalon_60_80
12,-1.000144033521216,-0.9998913140700081,-1.8572360277175903,,47,5,jalon_60_60
