Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999896255701289,-0.9999879232651359,-1.9541456699371338,,38,0,jalon_20_80
2,-0.9999535975013,-0.9999897519843236,-1.388716459274292,,19,2,381
3,-0.9999484476222076,-0.9999731454990649,-1.4332126677036285,,15,2,382
4,-0.9999382605216439,-0.9999469496632499,-1.2555578649044037,,24,1,383
5,-0.9998813904667375,-0.9999251912198054,-0.9927466562949121,,26,0,384
6,-0.9998606452626354,-0.9999643359758215,-1.5258116126060486,,12,8,385
7,-0.9998194489556509,-0.9999995813370907,-1.6212356090545654,,53,5,jalon_20_100
8,-0.9998584849585782,-0.9999107786691172,-1.1725244373083115,,26,2,386
9,-0.9998553208882357,-0.9999086997060042,-1.491438388824463,,52,4,386.1
10,-0.9998117004800375,-0.9998156375123325,-1.8462870121002197,,25,6,jalon_40_100
11,-0.9998578968874909,-0.9998277457765361,-1.5688244700431824,,23,0,387
12,-0.9999137793384121,-0.9999095009592165,-1.1243738681077957,,29,1,388
13,-0.9999149594355603,-0.9999066426832146,-1.0903209000825882,,34,3,389
14,-0.9999856147860777,-0.9998155781909976,0.47371459007263184,,35,9,jalon_40_80
