Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.4350390206437744,11.44549073227908,509.4632504582405,,13,3,401
2,3.435004561977087,11.445512204851488,508.88721573352814,,55,2,402
3,3.43507058052343,11.445543563082888,508.89361572265625,,35,6,jalon_60_100
4,3.4349912180059934,11.445509572102463,509.086805999279,,38,4,403
5,3.434978502333925,11.445507096503148,509.11307871341705,,41,4,404
6,3.434980491889804,11.445462905480232,509.9598708972335,,113,4,405
7,3.4349549247230096,11.445493205965871,509.94739855080843,,27,6,406
8,3.4349374628732363,11.445451782561308,509.24517261981964,,45,1,407
9,3.4349009861822024,11.445528000346824,509.1141728758812,,51,0,408
10,3.434879933049941,11.445526006068457,509.2538343667984,,36,3,jalon_60_80
