Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999998180429772,-0.9999886280882919,-1.8931357264518738,,26,9,46
2,-1.0000062225452937,-0.9999898806701174,-1.9277226328849792,,55,1,47
3,-1.0000273182770825,-0.9999915483546716,-1.9387753009796143,,45,5,48
4,-1.0000110778649904,-0.9999545817240293,-1.7124175429344177,,34,4,49
5,-0.9999787495267124,-0.9999217582148637,-2.064320206642151,,39,7,jalon_60_20
6,-1.0000009307601079,-0.9999344696964755,-1.6315473914146423,,21,6,50
7,-1.0000341473017604,-0.999936312139515,-1.9202662706375122,,41,5,51
8,-1.0000546405407105,-0.9999774296308164,-1.4505494832992554,,20,4,52
9,-1.0000599025008012,-0.9999759224596451,-1.3944525122642517,,33,3,52.1
10,-1.0000822404876029,-0.9999870084281981,-1.7201865911483765,,39,1,53
11,-1.000131204443135,-1.0000241148289415,-1.6425268650054932,,8,5,54
12,-1.0001321510967616,-0.999991795904181,-1.4699715077877045,,24,2,55
13,-1.0001482098313197,-0.9999628708063263,-1.4220622181892395,,55,5,55.1
14,-1.0001707117117855,-1.0000043664363687,-1.2574744820594788,,19,7,56
