Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434700542800473,11.444920382824504,665.6778674907982,,20,3,172
2,3.4347202384902413,11.444854347741707,665.4114623256028,,31,6,173
3,3.4347578808310746,11.444844760805669,665.2857439704239,,49,1,jalon_0_40
4,3.434646355356026,11.444918614720947,666.085684735328,,56,4,174
5,3.4346316945252635,11.444938224877484,666.2655559666455,,52,2,175
6,3.4346692087546975,11.444953607421493,666.8003009147942,,86,7,175.1
7,3.4346532847533275,11.444872636067455,665.6064361520112,,34,0,174.1
8,3.4346150277862026,11.444885132437078,666.1232661195099,,46,2,176
9,3.4346003379747216,11.444888177050569,666.2830217964947,,57,2,177
10,3.4345905918537327,11.44491368216153,667.062890548259,,25,7,178
11,3.434587306643575,11.444911417491161,666.978303629905,,56,8,179
12,3.4345814112421498,11.444877333853961,666.2531621344388,,46,7,jalon_0_20
13,3.434617215180837,11.44505577037323,666.8047287203372,,8,4,jalon_20_20
14,3.4347958625326096,11.445023835467964,665.9436232037842,,43,9,jalon_20_40
