Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000089935324568,-0.9999912847421301,-2.0112192630767822,,38,1,54
2,-1.0000128352303814,-0.9999609690573604,-1.829666018486023,,48,1,55
3,-1.0000547209827306,-0.9999812415175925,-1.2636944651603699,,11,0,56
4,-1.0000339332118002,-0.9999353783598774,-1.8435838222503662,,59,3,55.1
5,-0.9999886986798596,-0.9999223188281758,-2.0697656869888306,,54,4,57
6,-0.9999702849407017,-0.9999015298693026,-2.0581103563308716,,37,7,58
7,-0.9999410999476074,-0.9999104901020666,-2.066840887069702,,33,4,59
8,-0.999864279438766,-0.9998714869960775,-2.1682231426239014,,41,0,jalon_60_20
9,-1.0000597443256178,-0.9998625489100227,-1.7274934649467468,,53,2,jalon_60_0
10,-1.0000761630561728,-1.0000453136028316,-1.8453760743141174,,49,1,jalon_40_0
11,-0.9998922712198506,-1.0000561491316498,-2.0283013582229614,,48,5,jalon_40_20
