Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434819094022967,11.44532224045516,659.9046988403425,,28,0,232
2,3.434807504313104,11.44531162239522,659.7388006960973,,46,3,233
3,3.434754810636494,11.445330253648244,659.864451280795,,62,3,234
4,3.4347588377683946,11.445306569323455,659.9246883308515,,33,6,235
5,3.4347273435991386,11.445269497882201,659.3264242922887,,43,8,236
6,3.434705037277762,11.445303998284574,659.4697605883703,,42,7,237
7,3.434705637222793,11.445337146483912,659.2176429545507,,47,8,jalon_60_40
8,3.434695215775862,11.445154402805448,659.1328454529867,,55,1,jalon_40_40
9,3.4348717241437994,11.445150516324398,659.1867021834478,,45,4,jalon_40_60
10,3.4348860132907424,11.445327355581334,659.3870918070897,,43,7,jalon_60_60
