Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.000012743064191,-0.9999992361038644,-1.9581429958343506,,45,2,jalon_80_60
2,-0.9999795856246918,-1.0000451391804193,-1.9839604496955872,,42,5,292
3,-0.9999843608269425,-1.0000556726397154,-1.9174844026565552,,43,1,293
4,-0.9999667181602319,-1.0000740422570682,-2.13249933719635,,45,5,294
5,-0.9999425101872966,-1.0000654963924394,-2.145527958869934,,51,4,295
6,-0.9999377070522668,-1.0000499341430025,-1.8292292356491089,,24,0,296
7,-0.9999483935211114,-1.0000114781019616,-1.2913044095039368,,85,0,297
8,-0.9998283851585749,-1.0000065344025542,-2.5601829290390015,,49,4,jalon_80_80
9,-0.9998372300627624,-1.0000500704017155,-1.9804850220680237,,88,9,298
10,-0.9998405264407844,-1.0000667433025368,-2.5919190645217896,,46,4,299
11,-0.999824906817548,-1.0001007809762146,-2.647762417793274,,54,7,300
12,-0.9998476042714688,-1.0001008293443494,-2.316381812095642,,37,6,301
13,-0.9998125595347845,-1.0001610302081916,-2.6820127964019775,,51,2,jalon_60_80
14,-0.9998796458679117,-1.0001004908826714,-1.891010344028473,,50,5,302
15,-0.9998680610601929,-1.0001586041606583,-1.8134771585464478,,35,3,303
16,-0.9998930707801542,-1.0000691850439338,-1.8209189176559448,,18,7,304
17,-0.9999323488046551,-1.0001235904243977,-1.9717425107955933,,52,1,305
18,-0.9999817541809283,-1.0000914963954013,-1.8452489972114563,,67,9,306
19,-0.9999999843094453,-1.00009748164968,-1.858742892742157,,56,1,307
20,-0.9999854704392724,-1.0001065132396685,-1.47639799118042,,50,5,308
21,-0.9999620456330421,-1.000152714483481,-1.712183654308319,,40,9,309
22,-1.0000004070369204,-1.0001771821461511,-1.751962125301361,,41,1,jalon_60_60
