Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434420721867942,11.44602222840657,628.6519768834114,,47,8,jalon_80_20
2,3.434422749955821,11.44600563582276,628.7781031131744,,51,5,104
3,3.434478952546465,11.446003027121352,629.1989169418812,,14,2,105
4,3.4344765123710816,11.445987200170093,628.8078223466873,,41,4,106
5,3.4344736989385085,11.44597868857681,628.7923991680145,,36,3,107
6,3.4345272094634653,11.44600735802377,629.2624813616276,,21,1,108
7,3.434540337726838,11.445996441228983,629.4937609285116,,53,4,109
8,3.434554802876172,11.44603356184737,629.228916913271,,14,6,110
9,3.434597046833797,11.446020485374268,628.6792309880257,,48,8,jalon_80_40
10,3.434586093371275,11.446002071350138,628.9649727344513,,31,6,111
11,3.434563898000916,11.445925196310643,628.9173677563667,,40,2,112
12,3.4345032805831615,11.445920536444188,629.2281464338303,,11,6,113
13,3.4344855996882253,11.445935239911751,629.3853812366724,,17,7,114
14,3.4344868993976956,11.445896183480087,629.2677158713341,,41,4,115
15,3.4345806589671413,11.445839729483978,628.9048824310303,,46,9,jalon_60_40
16,3.4344275286238988,11.445872437701652,629.4246388226748,,19,7,116
17,3.4344276424622953,11.445872602986649,629.6483056358993,,18,1,117
18,3.4344319138021735,11.445849533835855,629.2273164391518,,17,1,118
19,3.434388599956708,11.445846105796491,628.9739723205566,,47,7,jalon_60_20
