Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999901402864478,-0.9999976572089126,-1.8670181035995483,,38,8,jalon_20_60
2,-0.999979188504843,-1.000000741350663,-1.103093609213829,,44,0,344
3,-0.9999824619437068,-1.0000278892343242,-2.0586947202682495,,25,2,345
4,-0.9999934025982807,-1.000039449242108,-2.1857008934020996,,80,0,346
5,-0.9999813019200781,-1.000046760106284,-2.479376435279846,,42,3,347
6,-0.999929780084883,-1.000054637032767,-2.6221351623535156,,21,1,348
7,-0.9999108913616312,-1.0000574488752283,-2.521021246910095,,22,5,349
8,-0.9998932304284008,-1.00004393834951,-2.7342329025268555,,47,2,350
9,-0.9998790049221723,-1.000034587444072,-2.0442800521850586,,16,3,351
10,-0.9998753461014903,-1.000051148539055,-2.610698938369751,,35,4,352
11,-0.999833926226146,-1.0000533828859477,-2.4519213438034058,,38,0,353
12,-0.9998097575789984,-1.000027522727915,-2.6360493898391724,,54,2,jalon_20_80
13,-0.9998553511225654,-1.0001049629766272,-2.577579975128174,,15,5,354
14,-0.9998810815401428,-1.0001161356024755,-2.887094736099243,,47,1,355
15,-0.9998640895521089,-1.0001406886745567,-2.848253011703491,,41,9,356
16,-0.999887388928067,-1.0001480504297589,-2.6300970315933228,,79,7,357
17,-0.9998343898817426,-1.0002005531283464,-2.6761412620544434,,38,4,jalon_0_80
18,-0.999920161517409,-1.000135834850532,-2.715888261795044,,53,9,358
19,-0.99995089272452,-1.000137418658718,-2.6978424787521362,,20,7,359
20,-0.9999962198227687,-1.0001648861119248,-2.244963765144348,,28,5,360
