Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-1.0000108690025875,-0.9999954784740694,-2.075170397758484,,31,9,jalon_20_0
2,-0.999919596211968,-0.9999993143055419,-1.8769270181655884,,15,0,19
3,-0.999916211615906,-0.9999748871791607,-1.9593256711959839,,26,8,20
4,-0.9999153416854211,-0.9999728467633643,-1.9304696321487427,,42,3,21
5,-0.9998907804208141,-0.9999693294623362,-1.8439666032791138,,18,2,22
6,-0.9998226825042946,-1.000015156573935,-2.329240918159485,,49,5,jalon_20_20
7,-0.9998247194390981,-0.9999709795195552,-2.0488288402557373,,53,6,23
8,-0.9998440289734412,-0.9999147472702757,-2.254441261291504,,49,6,24
9,-0.9998513248371032,-0.9999143609453388,-1.8948760628700256,,16,4,25
10,-0.9999279001780823,-0.9999303321731645,-2.106518864631653,,20,3,26
11,-0.9999617970535888,-0.9999573817436818,-1.3848573863506317,,34,5,27
12,-0.9999344623003116,-0.999918024206159,-1.0253071244806051,,42,8,28
13,-0.9999352422531904,-0.9999137011927366,-1.0401494912803173,,28,5,29
14,-0.9999507595649627,-0.9999236287023836,-0.5628901422023773,,30,1,30
15,-0.9998904399402114,-0.9998749897131749,-1.834898293018341,,29,3,31
16,-0.9998228528126352,-0.9998697882005454,-1.6824040412902832,,37,9,32
17,-0.9998042933276103,-0.9998337559975065,-2.1650205850601196,,49,4,jalon_40_20
18,-0.9998777139886963,-0.9998352770984098,-1.5654998421669006,,28,7,33
19,-0.9998980800562709,-0.9998408452209806,-1.7366307973861694,,51,7,34
20,-0.9999879664242837,-0.9998165050918821,-1.7388886213302612,,47,9,jalon_40_0
21,-0.9999359698962481,-0.9998560071212199,-1.321792185306549,,21,2,35
22,-0.9999643334365459,-0.999877232822376,-1.233710303902626,,31,6,36
23,-0.9999881981323939,-0.9998936936657089,-1.236311286687851,,17,3,88
24,-0.9999828987577785,-0.9998453808977494,-1.1923961341381073,,18,0,37
25,-0.9999608719407505,-0.999842349696135,-1.5631856322288513,,40,3,38
