Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434722291361423,11.445997061533838,613.1394853889942,,10,0,jalon_100_20
2,3.4347298049370023,11.445978066444276,613.0829126834869,,15,8,89
3,3.4347684264711225,11.445992395347787,613.1596053540707,,32,8,90
4,3.434729374331175,11.445930002323934,613.1266218721867,,23,5,91
5,3.4347306833574933,11.44591250004038,613.0228643417358,,16,8,92
6,3.434789897091968,11.44590022298069,613.3800626397133,,19,2,93
7,3.4348174487474266,11.445887572852032,613.3625990152359,,35,7,94
8,3.4348536356307253,11.445886370276126,613.2963692247868,,68,9,95
9,3.43486070589965,11.445917162761022,613.3703017532825,,28,5,96
10,3.434855632777688,11.445966005692965,612.8526398539543,,32,1,97
11,3.43488726602431,11.445970203524812,613.3209566175938,,24,9,98
12,3.4349064698418954,11.446003112569205,613.1087571978569,,33,3,jalon_100_40
13,3.434904193424696,11.44594174508501,613.3972419351339,,13,2,99
14,3.434881318387646,11.445898743963571,613.3374189436436,,26,6,100
15,3.4348749164622503,11.4458399615615,613.2394815981388,,17,9,101
16,3.4349126833591215,11.445815973970056,612.973736166954,,46,0,jalon_80_40
17,3.4348213580783393,11.445867686290015,612.9913638234138,,36,4,102
18,3.4347451506091913,11.445822039288883,613.0797926783562,,50,7,103
19,3.4347243835090016,11.445811304848124,613.0688564777374,,44,0,jalon_80_20
