Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,3.434531567099312,11.446131789531542,-0.1011343002319336,,34,0,70
2,3.4345208440352613,11.446164082180713,0.28418946266174316,,55,2,71
3,3.4345134839946807,11.446157729853905,0.14226925373077393,,25,9,72
4,3.4344849402679074,11.446126322380135,0.3647003173828125,,25,6,73
5,3.4344723124988277,11.446132329954747,0.3081405758857727,,24,4,74
6,3.434433555019864,11.446167466510442,0.20451438426971436,,15,2,75
7,3.434408916306216,11.446202818707992,-0.48648154735565186,,47,1,jalon_80_0
8,3.434396653432138,11.446019750376196,0.2707841396331787,,32,6,jalon_60_0
9,3.434584762933255,11.446000900563721,-0.03541922569274902,,49,3,jalon_60_20
10,3.4346040828466653,11.44618337571194,-0.12839102745056152,,46,5
11,3.4346026151480733,11.446187216604354,-0.08877933025360107,,41,5,jalon_80_20
