Number,Latitude,Longitude,Elevation,Tree species,Diameter(cm),Notes1
1,-0.9999922840766875,-1.0000084672022491,-2.1363842487335205,,46,9,jalon_0_0
2,-0.9999781062115258,-0.9999640390172844,-1.8133862018585205,,21,6,1
3,-0.9999915166309781,-0.9999608040816815,-1.537807047367096,,55,7,2
4,-0.99990477612973,-0.9999798690620634,-2.1909674406051636,,62,0,3
5,-0.9999026156071895,-1.000003392620849,-2.041653037071228,,41,0,4
6,-0.9998901251333305,-1.000002934946549,-1.9849042892456055,,49,3,5
7,-0.9998690452020644,-0.9999647947288115,-1.7512009143829346,,23,4,6
8,-0.9998247317443656,-0.9999813725698464,-1.2111036628484726,,125,7,7
9,-0.9998120258383598,-1.0000147280599068,-2.404247283935547,,43,6,jalon_0_20
10,-0.9998506482190872,-0.9999271505092353,-1.1515713185071945,,18,4,8
12,-0.9998346809146005,-0.9999090737068643,-1.6766509413719177,,42,8,9
13,-0.9998373145409405,-0.9998910342130678,-1.7852126955986023,,491,0,10
14,-0.9998361771718727,-0.9998726881557881,-1.800102174282074,,60,1,11
15,-0.9998462607874213,-0.9998819901226145,-1.584437072277069,,16,8,12
16,-0.9998501874141629,-0.9998841576020724,-1.5352513790130615,,17,9,13
17,-0.9998751585827752,-0.999894521595767,-1.891424834728241,,53,1,14
18,-0.9998911134773188,-0.9998778461237741,-1.6861559748649597,,40,9,15
19,-0.9998057761594954,-0.9998340883979983,-2.0937323570251465,,33,8,jalon_20_20
20,-0.9999214916826579,-0.9998656400973908,-1.1615546196699142,,31,8,17
21,-0.9999206066292854,-0.9998689375172535,-1.5843740105628967,,430,0,16
22,-0.9999287325390173,-0.9998781381045913,-1.6961926817893982,,44,2,18
23,-0.9999893855672692,-0.9998262785381934,-1.591574251651764,,26,2,jalon_20_0
